Employee_ID,Employee_Name,Age,Gender,Department,Job_Role,Education_Level,Monthly_Income,Experience_Years,Work_Location,Distance_From_Home_KM,Overtime,Work_Life_Balance,Job_Satisfaction,Environment_Satisfaction,Relationship_With_Manager,Training_Hours_Last_Year,Years_Since_Last_Promotion,Salary_Hike_Percent,Projects_Handled,Absenteeism_Days,Stress_Level,Performance_Rating,Attrition,Attrition_Reason,Joining_Date,Email,Phone_Number,Attrition_Risk_Score
EMP00001,Anvi Bajwa,55,Male,Marketing,SEO Specialist,Masters,147457,30,Mumbai,32,Yes,5,2,5,2,36,3,10,8,2,3,4,No,Not Provided,29-08-2017,yashvi61@sunder.com,7573436650,8
EMP00002,Nayantara Bahl,33,Other,Customer Support,Customer Success Manager,MBA,110466,6,Pune,30,Yes,4,4,2,1,55,4,6,2,20,5,4,No,Not Provided,09-04-2017,kiararam@rama.com,7263905427,10
EMP00003,Prerak Sani,35,Male,Customer Support,Customer Success Manager,MBA,45142,9,Bangalore,7,No,4,1,4,2,68,5,25,1,11,3,1,No,Not Provided,24-07-2022,devansh75@hotmail.com,9908222062,7
EMP00004,Zaina Balakrishnan,38,Male,Sales,Sales Executive,Bachelors,64520,17,Delhi,33,No,3,5,4,2,63,4,5,12,16,1,5,No,Not Provided,07-12-2017,kismat21@singhal.net,4038191966,7
EMP00005,Bhamini Mane,28,Male,IT,System Admin,MBA,145749,0,Noida,6,Yes,2,2,5,4,17,2,9,6,12,1,1,No,Not Provided,10-02-2024,vanyadesai@gmail.com,5797744439,8
EMP00006,Hiran Soman,41,Male,Finance,Accountant,Bachelors,98430,20,Kolkata,34,Yes,3,4,2,4,14,5,7,2,8,2,5,No,Not Provided,03-10-2025,delagan@brar.com,3148956539,7
EMP00007,Tushar Karnik,57,Female,Sales,Business Development Associate,MBA,113205,37,Kolkata,35,Yes,3,4,2,5,75,5,10,1,4,3,4,No,Not Provided,23-10-2016,dhanush07@hotmail.com,9475262598,7
EMP00008,Kartik Raman,35,Other,Operations,Operations Executive,MBA,42378,7,Hyderabad,24,Yes,2,1,2,3,15,0,14,14,21,2,2,No,Not Provided,09-06-2019,xsankaran@yahoo.com,7403190838,12
EMP00009,Baiju Sagar,75,Other,Sales,Business Development Associate,Diploma,103697,31,Noida,20,No,3,2,4,2,58,0,7,1,18,3,1,No,Not Provided,13-09-2021,tramanathan@lanka.biz,5356015306,5
EMP00010,Uthkarsh Das,23,Other,IT,Software Engineer,Bachelors,40268,0,Mumbai,32,Yes,4,4,3,5,18,10,1,1,22,3,5,No,Not Provided,08-05-2017,nkakar@gmail.com,6367082258,7
EMP00012,Kaira Tak,58,Other,Finance,Finance Manager,Masters,75307,28,Noida,15,No,2,1,2,5,65,1,18,9,0,3,2,No,Not Provided,17-02-2020,dvyas@gmail.com,4048985534,8
EMP00013,Fateh Vaidya,23,Female,HR,HR Executive,Masters,174608,0,Bangalore,19,Yes,3,4,2,1,14,10,16,1,3,3,4,No,Not Provided,19-12-2024,himmatdani@wason.com,1949641435,8
EMP00014,Damini Bora,30,Female,Operations,Supply Chain Analyst,Diploma,112172,0,Noida,16,Yes,2,3,4,2,60,3,13,3,19,2,2,No,Not Provided,12-05-2026,gben@raval-choudhry.com,435979057,7
